transition_time,from_stage,to_stage,onset_pac,onset_hjorth_mobility,delta_hjorth_mobility,onset_hjorth_complexity,delta_hjorth_complexity,onset_dfa,onset_perm_entropy,delta_perm_entropy,onset_spectral_entropy,delta_spectral_entropy,onset_svd_entropy,delta_svd_entropy,onset_sample_entropy,delta_sample_entropy,onset_petrosian_fd,delta_petrosian_fd,onset_katz_fd,delta_katz_fd,onset_lziv,delta_lziv,onset_hstar_hjorth_only,delta_hstar_hjorth_only,hstar_first_hjorth_only,onset_hstar_dfa_only,onset_hstar_hjorth_dfa,delta_hstar_hjorth_dfa,hstar_first_hjorth_dfa,onset_hstar_hjorth_dfa_petrosian,delta_hstar_hjorth_dfa_petrosian,hstar_first_hjorth_dfa_petrosian,onset_hstar_hjorth_dfa_perm,delta_hstar_hjorth_dfa_perm,hstar_first_hjorth_dfa_perm,onset_hstar_top4_hctsa,delta_hstar_top4_hctsa,hstar_first_top4_hctsa,onset_hstar_all_precede,delta_hstar_all_precede,hstar_first_all_precede,subject_id,delta_dfa,delta_hstar_dfa_only,hstar_first_dfa_only
36960.0,Sleep stage 1,Sleep stage W,-25.0,5.0,30.0,-25.0,0.0,-25.0,-15.0,10.0,5.0,30.0,5.0,30.0,25.0,50.0,-15.0,10.0,45.0,70.0,45.0,70.0,-25.0,0.0,False,-25.0,-25.0,0.0,False,-25.0,0.0,False,-25.0,0.0,False,-25.0,0.0,False,-25.0,0.0,False,SC4002E0,0.0,0.0,False
40020.0,Sleep stage 1,Sleep stage W,-25.0,-25.0,0.0,,,,-25.0,0.0,15.0,40.0,-25.0,0.0,-5.0,20.0,-25.0,0.0,15.0,40.0,-5.0,20.0,,,,,,,,,,,,,,,,,,,,SC4002E0,,,
40170.0,Sleep stage 2,Sleep stage W,75.0,15.0,-60.0,-15.0,-90.0,-15.0,,,15.0,-60.0,15.0,-60.0,15.0,-60.0,,,15.0,-60.0,-5.0,-80.0,-15.0,-90.0,True,-15.0,-15.0,-90.0,True,-15.0,-90.0,True,-15.0,-90.0,True,-15.0,-90.0,True,-15.0,-90.0,True,SC4002E0,-90.0,-90.0,True
41280.0,Sleep stage 2,Sleep stage W,55.0,-25.0,-80.0,35.0,-20.0,35.0,35.0,-20.0,-25.0,-80.0,-5.0,-60.0,105.0,50.0,35.0,-20.0,95.0,40.0,5.0,-50.0,35.0,-20.0,True,35.0,35.0,-20.0,True,35.0,-20.0,True,35.0,-20.0,True,35.0,-20.0,True,35.0,-20.0,True,SC4002E0,-20.0,-20.0,True
41370.0,Sleep stage 1,Sleep stage W,5.0,5.0,0.0,,,,15.0,10.0,,,5.0,0.0,15.0,10.0,15.0,10.0,5.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,SC4002E0,,,
48570.0,Sleep stage 2,Sleep stage W,-25.0,-15.0,10.0,-5.0,20.0,-5.0,-15.0,10.0,25.0,50.0,-15.0,10.0,5.0,30.0,-15.0,10.0,-15.0,10.0,25.0,50.0,-5.0,20.0,False,-5.0,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,SC4002E0,20.0,20.0,False
51480.0,Sleep stage 3,Sleep stage W,-25.0,-25.0,0.0,,,,5.0,30.0,-25.0,0.0,-25.0,0.0,5.0,30.0,5.0,30.0,-5.0,20.0,-25.0,0.0,,,,,,,,,,,,,,,,,,,,SC4002E0,,,
53520.0,Sleep stage 2,Sleep stage W,-15.0,5.0,20.0,-15.0,0.0,-15.0,-15.0,0.0,25.0,40.0,-5.0,10.0,25.0,40.0,-15.0,0.0,25.0,40.0,15.0,30.0,-15.0,0.0,False,-15.0,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,SC4002E0,0.0,0.0,False
53760.0,Sleep stage 2,Sleep stage W,-25.0,5.0,30.0,-25.0,0.0,-25.0,-5.0,20.0,25.0,50.0,-5.0,20.0,25.0,50.0,-5.0,20.0,35.0,60.0,5.0,30.0,-25.0,0.0,False,-25.0,-25.0,0.0,False,-25.0,0.0,False,-25.0,0.0,False,-25.0,0.0,False,-25.0,0.0,False,SC4002E0,0.0,0.0,False
55650.0,Sleep stage 2,Sleep stage W,-25.0,15.0,40.0,-5.0,20.0,-5.0,5.0,30.0,35.0,60.0,5.0,30.0,35.0,60.0,5.0,30.0,-25.0,0.0,25.0,50.0,-5.0,20.0,False,-5.0,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,SC4002E0,20.0,20.0,False
56310.0,Sleep stage 2,Sleep stage W,5.0,5.0,0.0,,,,5.0,0.0,35.0,30.0,5.0,0.0,15.0,10.0,5.0,0.0,35.0,30.0,15.0,10.0,,,,,,,,,,,,,,,,,5.0,0.0,False,SC4002E0,,,
25800.0,Sleep stage 2,Sleep stage W,-5.0,-25.0,-20.0,,,,-5.0,0.0,-25.0,-20.0,-25.0,-20.0,-25.0,-20.0,-5.0,0.0,-25.0,-20.0,-25.0,-20.0,,,,,,,,,,,,,,,,,,,,SC4011E0,,,
26850.0,Sleep stage 2,Sleep stage W,25.0,-15.0,-40.0,,,-5.0,-15.0,-40.0,-15.0,-40.0,-15.0,-40.0,-25.0,-50.0,-15.0,-40.0,5.0,-20.0,-15.0,-40.0,,,,-5.0,,,,,,,,,,,,,,,,SC4011E0,-30.0,-30.0,True
27390.0,Sleep stage 2,Sleep stage W,-15.0,-5.0,10.0,75.0,90.0,15.0,-5.0,10.0,-5.0,10.0,-5.0,10.0,-5.0,10.0,-5.0,10.0,5.0,20.0,-5.0,10.0,75.0,90.0,False,15.0,75.0,90.0,False,75.0,90.0,False,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,SC4011E0,30.0,30.0,False
35670.0,Sleep stage 1,Sleep stage W,-15.0,-25.0,-10.0,-25.0,-10.0,-25.0,-25.0,-10.0,-15.0,0.0,-25.0,-10.0,-5.0,10.0,-25.0,-10.0,-15.0,0.0,-25.0,-10.0,-25.0,-10.0,True,-25.0,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,SC4011E0,-10.0,-10.0,True
36540.0,Sleep stage 2,Sleep stage W,-15.0,-25.0,-10.0,-15.0,0.0,-15.0,-25.0,-10.0,-25.0,-10.0,-25.0,-10.0,-25.0,-10.0,-25.0,-10.0,55.0,70.0,-25.0,-10.0,-15.0,0.0,False,-15.0,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,SC4011E0,0.0,0.0,False
36810.0,Sleep stage 1,Sleep stage W,-15.0,-15.0,0.0,-5.0,10.0,-5.0,-25.0,-10.0,-25.0,-10.0,-25.0,-10.0,,,-25.0,-10.0,,,-25.0,-10.0,-5.0,10.0,False,-5.0,-5.0,10.0,False,-5.0,10.0,False,-5.0,10.0,False,-5.0,10.0,False,-5.0,10.0,False,SC4011E0,10.0,10.0,False
36900.0,Sleep stage 1,Sleep stage W,55.0,45.0,-10.0,,,,65.0,10.0,-25.0,-80.0,45.0,-10.0,,,65.0,10.0,5.0,-50.0,55.0,0.0,,,,,,,,,,,,,,,,,,,,SC4011E0,,,
44910.0,Sleep stage 2,Sleep stage W,-5.0,-5.0,0.0,-5.0,0.0,,-5.0,0.0,5.0,10.0,-5.0,0.0,-15.0,-10.0,-5.0,0.0,-25.0,-20.0,5.0,10.0,-5.0,0.0,False,,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,SC4011E0,,,
24360.0,Sleep stage 2,Sleep stage W,-5.0,-5.0,0.0,-25.0,-20.0,-25.0,-25.0,-20.0,,,-15.0,-10.0,-15.0,-10.0,-25.0,-20.0,,,-15.0,-10.0,-25.0,-20.0,True,-25.0,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,SC4012E0,-20.0,-20.0,True
29250.0,Sleep stage 3,Sleep stage W,5.0,5.0,0.0,-5.0,-10.0,,-5.0,-10.0,5.0,0.0,5.0,0.0,5.0,0.0,-5.0,-10.0,15.0,10.0,5.0,0.0,-5.0,-10.0,True,,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,SC4012E0,,,
32520.0,Sleep stage 1,Sleep stage W,-5.0,-25.0,-20.0,55.0,60.0,55.0,-15.0,-10.0,15.0,20.0,-25.0,-20.0,,,-15.0,-10.0,-25.0,-20.0,-15.0,-10.0,55.0,60.0,False,55.0,55.0,60.0,False,55.0,60.0,False,55.0,60.0,False,55.0,60.0,False,55.0,60.0,False,SC4012E0,60.0,60.0,False
34950.0,Sleep stage 2,Sleep stage W,-5.0,-25.0,-20.0,65.0,70.0,55.0,-25.0,-20.0,-25.0,-20.0,-25.0,-20.0,-25.0,-20.0,-25.0,-20.0,-5.0,0.0,-25.0,-20.0,65.0,70.0,False,55.0,65.0,70.0,False,65.0,70.0,False,65.0,70.0,False,65.0,70.0,False,65.0,70.0,False,SC4012E0,60.0,60.0,False
37740.0,Sleep stage 2,Sleep stage W,-5.0,5.0,10.0,5.0,10.0,25.0,5.0,10.0,45.0,50.0,-25.0,-20.0,5.0,10.0,5.0,10.0,15.0,20.0,-25.0,-20.0,5.0,10.0,False,25.0,5.0,10.0,False,5.0,10.0,False,5.0,10.0,False,5.0,10.0,False,5.0,10.0,False,SC4012E0,30.0,30.0,False
37830.0,Sleep stage 2,Sleep stage W,5.0,15.0,10.0,,,,35.0,30.0,35.0,30.0,15.0,10.0,-25.0,-30.0,25.0,20.0,25.0,20.0,25.0,20.0,,,,,,,,,,,,,,,,,,,,SC4012E0,,,
39960.0,Sleep stage 2,Sleep stage W,5.0,-25.0,-30.0,15.0,10.0,-5.0,-25.0,-30.0,-15.0,-20.0,-25.0,-30.0,-25.0,-30.0,-25.0,-30.0,45.0,40.0,-25.0,-30.0,15.0,10.0,False,-5.0,15.0,10.0,False,15.0,10.0,False,5.0,0.0,False,5.0,0.0,False,5.0,0.0,False,SC4012E0,-10.0,-10.0,True
45300.0,Sleep stage 1,Sleep stage W,-25.0,-25.0,0.0,,,,-25.0,0.0,-25.0,0.0,-25.0,0.0,,,-25.0,0.0,,,-25.0,0.0,,,,,,,,,,,,,,,,,,,,SC4012E0,,,
45960.0,Sleep stage 1,Sleep stage W,5.0,-25.0,-30.0,,,,-5.0,-10.0,-25.0,-30.0,-25.0,-30.0,-25.0,-30.0,-5.0,-10.0,-25.0,-30.0,-25.0,-30.0,,,,,,,,,,,,,,,,,,,,SC4012E0,,,
46440.0,Sleep stage 1,Sleep stage W,5.0,-15.0,-20.0,,,,,,,,-15.0,-20.0,-5.0,-10.0,,,-5.0,-10.0,-25.0,-30.0,,,,,,,,,,,,,,,,,,,,SC4012E0,,,
48900.0,Sleep stage 2,Sleep stage W,-15.0,-5.0,10.0,-25.0,-10.0,-25.0,-25.0,-10.0,-5.0,10.0,-15.0,0.0,-15.0,0.0,-25.0,-10.0,15.0,30.0,-15.0,0.0,-25.0,-10.0,True,-25.0,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,SC4012E0,-10.0,-10.0,True
51270.0,Sleep stage 2,Sleep stage W,-5.0,-15.0,-10.0,-25.0,-20.0,-25.0,-15.0,-10.0,-5.0,0.0,-15.0,-10.0,-15.0,-10.0,-15.0,-10.0,5.0,10.0,-15.0,-10.0,-25.0,-20.0,True,-25.0,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,SC4012E0,-20.0,-20.0,True
22650.0,Sleep stage 1,Sleep stage W,-5.0,15.0,20.0,-5.0,0.0,-5.0,-5.0,0.0,25.0,30.0,5.0,10.0,35.0,40.0,-5.0,0.0,-25.0,-20.0,25.0,30.0,-5.0,0.0,False,-5.0,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,SC4021E0,0.0,0.0,False
24060.0,Sleep stage 2,Sleep stage W,-5.0,-5.0,0.0,,,,-5.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,,SC4021E0,,,
28710.0,Sleep stage 3,Sleep stage W,-5.0,-5.0,0.0,-5.0,0.0,,-5.0,0.0,5.0,10.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-15.0,-10.0,-5.0,0.0,False,,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,SC4021E0,,,
39330.0,Sleep stage 3,Sleep stage W,-5.0,-5.0,0.0,,,,-5.0,0.0,-5.0,0.0,-5.0,0.0,5.0,10.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,,SC4021E0,,,
47490.0,Sleep stage 2,Sleep stage W,-15.0,-25.0,-10.0,,,,-25.0,-10.0,5.0,20.0,-25.0,-10.0,5.0,20.0,-25.0,-10.0,-15.0,0.0,-15.0,0.0,,,,,,,,,,,,,,,,,,,,SC4021E0,,,
49020.0,Sleep stage 1,Sleep stage W,-5.0,-5.0,0.0,-5.0,0.0,-25.0,5.0,10.0,-5.0,0.0,-5.0,0.0,5.0,10.0,5.0,10.0,15.0,20.0,5.0,10.0,-5.0,0.0,False,-25.0,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,SC4021E0,-20.0,-20.0,True
41460.0,Sleep stage 2,Sleep stage W,-5.0,-15.0,-10.0,55.0,60.0,65.0,5.0,10.0,-15.0,-10.0,-15.0,-10.0,15.0,20.0,5.0,10.0,-25.0,-20.0,-25.0,-20.0,55.0,60.0,False,65.0,55.0,60.0,False,55.0,60.0,False,55.0,60.0,False,55.0,60.0,False,55.0,60.0,False,SC4022E0,70.0,70.0,False
49320.0,Sleep stage 1,Sleep stage W,-15.0,,,-15.0,0.0,-15.0,-15.0,0.0,,,,,,,-15.0,0.0,,,,,-15.0,0.0,False,-15.0,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,-15.0,0.0,False,SC4022E0,0.0,0.0,False
49410.0,Sleep stage 1,Sleep stage W,45.0,55.0,10.0,,,,35.0,-10.0,55.0,10.0,55.0,10.0,-25.0,-70.0,35.0,-10.0,-25.0,-70.0,55.0,10.0,,,,,,,,,,,,,,,,,,,,SC4022E0,,,
26160.0,Sleep stage 1,Sleep stage W,25.0,,,-25.0,-50.0,-25.0,-15.0,-40.0,-25.0,-50.0,25.0,0.0,-15.0,-40.0,-25.0,-50.0,,,-25.0,-50.0,-25.0,-50.0,True,-25.0,-25.0,-50.0,True,-25.0,-50.0,True,-25.0,-50.0,True,-25.0,-50.0,True,-25.0,-50.0,True,SC4031E0,-50.0,-50.0,True
28410.0,Sleep stage 2,Sleep stage W,-25.0,-15.0,10.0,,,,-15.0,10.0,-15.0,10.0,-15.0,10.0,-15.0,10.0,-15.0,10.0,-15.0,10.0,-25.0,0.0,,,,,,,,,,,,,,,,,,,,SC4031E0,,,
28500.0,Sleep stage 1,Sleep stage W,5.0,,,,,,,,95.0,90.0,,,,,,,95.0,90.0,,,,,,,,,,,,,,,,,,,,,,SC4031E0,,,
29400.0,Sleep stage 2,Sleep stage W,5.0,-15.0,-20.0,35.0,30.0,35.0,-5.0,-10.0,-25.0,-30.0,-15.0,-20.0,-15.0,-20.0,-5.0,-10.0,-5.0,-10.0,-25.0,-30.0,35.0,30.0,False,35.0,35.0,30.0,False,35.0,30.0,False,35.0,30.0,False,35.0,30.0,False,25.0,20.0,False,SC4031E0,30.0,30.0,False
29760.0,Sleep stage 1,Sleep stage W,-25.0,-15.0,10.0,5.0,30.0,-5.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,5.0,30.0,False,-5.0,5.0,30.0,False,5.0,30.0,False,5.0,30.0,False,5.0,30.0,False,-5.0,20.0,False,SC4031E0,20.0,20.0,False
36450.0,Sleep stage 2,Sleep stage W,5.0,-15.0,-20.0,-5.0,-10.0,5.0,-5.0,-10.0,35.0,30.0,-15.0,-20.0,-15.0,-20.0,-5.0,-10.0,-5.0,-10.0,5.0,0.0,-5.0,-10.0,True,5.0,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,SC4031E0,0.0,0.0,False
37950.0,Sleep stage 2,Sleep stage W,5.0,-25.0,-30.0,-5.0,-10.0,-5.0,-15.0,-20.0,-15.0,-20.0,-25.0,-30.0,-25.0,-30.0,-15.0,-20.0,-25.0,-30.0,-15.0,-20.0,-5.0,-10.0,True,-5.0,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,-5.0,-10.0,True,SC4031E0,-10.0,-10.0,True
44940.0,Sleep stage 2,Sleep stage W,-5.0,-5.0,0.0,,,,-5.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,5.0,10.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,,SC4031E0,,,
33180.0,Sleep stage 4,Sleep stage W,-25.0,-25.0,0.0,,,,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-5.0,20.0,,,,,,,,,,,,,,,,,,,,SC4032E0,,,
34680.0,Sleep stage 2,Sleep stage W,-25.0,-25.0,0.0,,,,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,,,,,,,,,,,,,,,,,,,,SC4032E0,,,
37440.0,Sleep stage 2,Sleep stage W,5.0,-25.0,-30.0,,,,-25.0,-30.0,-25.0,-30.0,-25.0,-30.0,-25.0,-30.0,-25.0,-30.0,-25.0,-30.0,-25.0,-30.0,,,,,,,,,,,,,,,,,,,,SC4032E0,,,
48240.0,Sleep stage 1,Sleep stage W,-25.0,-25.0,0.0,,,,-25.0,0.0,-15.0,10.0,-25.0,0.0,-25.0,0.0,-25.0,0.0,5.0,30.0,-25.0,0.0,,,,,,,,,,,,,,,,,,,,SC4032E0,,,
49350.0,Sleep stage 1,Sleep stage W,25.0,5.0,-20.0,85.0,60.0,,5.0,-20.0,5.0,-20.0,5.0,-20.0,25.0,0.0,5.0,-20.0,15.0,-10.0,5.0,-20.0,85.0,60.0,False,,85.0,60.0,False,85.0,60.0,False,85.0,60.0,False,85.0,60.0,False,15.0,-10.0,True,SC4032E0,,,
49650.0,Sleep stage 2,Sleep stage W,25.0,-15.0,-40.0,,,35.0,-15.0,-40.0,-15.0,-40.0,-15.0,-40.0,-5.0,-30.0,-15.0,-40.0,-5.0,-30.0,-15.0,-40.0,,,,35.0,,,,,,,55.0,30.0,False,55.0,30.0,False,-5.0,-30.0,True,SC4032E0,10.0,10.0,False
51360.0,Sleep stage 2,Sleep stage W,-25.0,5.0,30.0,-5.0,20.0,,-5.0,20.0,5.0,30.0,5.0,30.0,5.0,30.0,-5.0,20.0,-25.0,0.0,5.0,30.0,-5.0,20.0,False,,,,,,,,,,,,,,-5.0,20.0,False,SC4032E0,,,
24630.0,Sleep stage 1,Sleep stage W,15.0,-15.0,-30.0,,,-25.0,-25.0,-40.0,35.0,20.0,-15.0,-30.0,15.0,0.0,-25.0,-40.0,15.0,0.0,25.0,10.0,,,,-25.0,,,,,,,,,,,,,-25.0,-40.0,True,SC4041E0,-40.0,-40.0,True
26010.0,Sleep stage 2,Sleep stage W,-5.0,-5.0,0.0,-5.0,0.0,25.0,5.0,10.0,-5.0,0.0,-5.0,0.0,5.0,10.0,5.0,10.0,5.0,10.0,-5.0,0.0,-5.0,0.0,False,25.0,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,SC4041E0,30.0,30.0,False
31290.0,Sleep stage 3,Sleep stage W,5.0,5.0,0.0,,,25.0,-25.0,-30.0,55.0,50.0,5.0,0.0,35.0,30.0,-25.0,-30.0,25.0,20.0,5.0,0.0,,,,25.0,,,,,,,,,,,,,25.0,20.0,False,SC4041E0,20.0,20.0,False
31770.0,Sleep stage 2,Sleep stage W,-5.0,35.0,40.0,-25.0,-20.0,-5.0,-5.0,0.0,95.0,100.0,35.0,40.0,35.0,40.0,-5.0,0.0,35.0,40.0,35.0,40.0,-25.0,-20.0,True,-5.0,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,-25.0,-20.0,True,SC4041E0,0.0,0.0,False
44640.0,Sleep stage 2,Sleep stage W,-15.0,-15.0,0.0,-25.0,-10.0,-25.0,-15.0,0.0,-15.0,0.0,-15.0,0.0,-5.0,10.0,-15.0,0.0,-15.0,0.0,-15.0,0.0,-25.0,-10.0,True,-25.0,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,SC4041E0,-10.0,-10.0,True
44940.0,Sleep stage 2,Sleep stage W,-15.0,-15.0,0.0,-5.0,10.0,-5.0,-15.0,0.0,-15.0,0.0,-15.0,0.0,-15.0,0.0,-15.0,0.0,,,-25.0,-10.0,-5.0,10.0,False,-5.0,-5.0,10.0,False,-5.0,10.0,False,-5.0,10.0,False,-5.0,10.0,False,-15.0,0.0,False,SC4041E0,10.0,10.0,False
47430.0,Sleep stage 1,Sleep stage W,55.0,,,-15.0,-70.0,-15.0,-5.0,-60.0,,,,,95.0,40.0,-5.0,-60.0,,,,,-15.0,-70.0,True,-15.0,-15.0,-70.0,True,-15.0,-70.0,True,-15.0,-70.0,True,-15.0,-70.0,True,-15.0,-70.0,True,SC4041E0,-70.0,-70.0,True
49530.0,Sleep stage 2,Sleep stage W,-15.0,-25.0,-10.0,105.0,120.0,,5.0,20.0,-25.0,-10.0,-25.0,-10.0,-25.0,-10.0,5.0,20.0,,,15.0,30.0,105.0,120.0,False,,105.0,120.0,False,105.0,120.0,False,105.0,120.0,False,105.0,120.0,False,15.0,30.0,False,SC4041E0,,,
49860.0,Sleep stage 2,Sleep stage W,15.0,25.0,10.0,-5.0,-20.0,-5.0,5.0,-10.0,35.0,20.0,25.0,10.0,35.0,20.0,5.0,-10.0,,,15.0,0.0,-5.0,-20.0,True,-5.0,-5.0,-20.0,True,-5.0,-20.0,True,-5.0,-20.0,True,-5.0,-20.0,True,-5.0,-20.0,True,SC4041E0,-20.0,-20.0,True
52530.0,Sleep stage 1,Sleep stage W,5.0,-15.0,-20.0,,,,-5.0,-10.0,-15.0,-20.0,-15.0,-20.0,-5.0,-10.0,-5.0,-10.0,5.0,0.0,-15.0,-20.0,,,,,,,,,,,,,,,,,,,,SC4041E0,,,
